index,date,open,high,low,close,volume
0,"2011/07/01, 03:30:00",70902.9,72156.8,70281.2,71902.6,0.0
1,"2011/08/01, 03:30:00",71924.7,87405.9,70873.7,83716.9,0.0
2,"2011/09/01, 03:30:00",83589.4,88624.9,76363.4,79593.7,0.0
3,"2011/10/03, 03:30:00",79576.5,86038.7,78508.6,83472.8,0.0
4,"2011/11/01, 03:30:00",83472.8,91365.2,82854.4,91170.2,0.0
5,"2011/12/01, 03:30:00",91179.3,91388.4,80825.3,83033.5,0.0
6,"2012/01/02, 03:30:00",83025.8,86827.6,82648.1,86019.8,0.0
7,"2012/02/01, 03:30:00",86009.9,87937.8,82636.9,83321.3,0.0
8,"2012/03/01, 03:30:00",83341.7,86816.9,81587.2,84876.4,0.0
9,"2012/04/02, 03:30:00",84859.1,87877.3,82443.6,87745.5,0.0
10,"2012/05/01, 03:30:00",87818.8,88291.4,82490.6,87529.4,0.0
11,"2012/06/01, 03:30:00",87538.9,91493.0,85710.3,88882.3,0.0
12,"2012/07/02, 03:30:00",88675.8,90597.4,86573.4,89840.1,0.0
13,"2012/08/01, 03:30:00",89709.9,94006.4,88358.4,93928.1,0.0
14,"2012/09/03, 03:30:00",93928.1,98381.9,92995.3,93660.3,0.0
15,"2012/10/01, 03:30:00",93633.7,93856.3,91098.1,92598.7,0.0
16,"2012/11/01, 03:30:00",92608.1,97615.9,90165.6,93053.8,0.0
17,"2012/12/03, 03:30:00",93062.2,94273.5,89735.1,91798.7,0.0
18,"2013/01/01, 03:30:00",92161.1,92333.1,88277.6,88634.2,0.0
19,"2013/02/01, 03:30:00",88613.5,89693.9,84098.0,85892.2,0.0
20,"2013/03/01, 03:30:00",85874.6,87942.1,84948.3,86723.3,0.0
21,"2013/04/01, 03:30:00",86815.6,86885.4,72275.0,79267.0,0.0
22,"2013/05/01, 03:30:00",79267.0,80277.7,73539.4,78527.9,0.0
23,"2013/06/03, 03:30:00",78472.8,81557.3,70714.8,73536.7,0.0
24,"2013/07/01, 03:30:00",73589.6,81668.6,73106.3,80193.9,0.0
25,"2013/08/01, 03:30:00",80311.8,98870.4,77427.8,91706.4,0.0
26,"2013/09/02, 03:30:00",91736.0,96940.9,81449.7,83189.2,0.0
27,"2013/10/01, 03:30:00",83118.5,83770.6,77171.0,81565.4,0.0
28,"2013/11/01, 03:30:00",81559.2,82726.2,76541.7,78114.8,0.0
29,"2013/12/02, 03:30:00",78149.3,78177.5,73289.0,74521.5,0.0
30,"2014/01/01, 03:30:00",74518.4,80450.1,74375.4,77785.6,0.0
31,"2014/02/03, 03:30:00",77748.4,83896.7,77631.2,81949.0,0.0
32,"2014/03/03, 03:30:00",81939.5,84965.1,76867.4,76917.3,0.0
33,"2014/04/01, 03:30:00",76917.3,80116.4,76437.7,77892.2,0.0
34,"2014/05/01, 03:30:00",77907.9,79172.5,73489.1,74060.5,0.0
35,"2014/06/02, 03:30:00",74060.5,79985.1,73393.9,79705.8,0.0
36,"2014/07/01, 03:30:00",79705.8,80938.1,77444.1,77663.5,0.0
37,"2014/08/01, 03:30:00",77681.7,81390.5,77028.7,77997.5,0.0
38,"2014/09/01, 03:30:00",77997.5,77997.5,73584.9,74871.8,0.0
39,"2014/10/01, 03:30:00",74850.4,77032.5,71390.8,72101.8,0.0
40,"2014/11/03, 03:30:00",72154.6,74527.7,69693.5,72661.1,0.0
41,"2014/12/01, 03:30:00",72661.1,78105.0,71125.3,74785.8,0.0
42,"2015/01/01, 03:30:00",74781.4,80429.9,74038.6,79764.1,0.0
43,"2015/02/02, 03:30:00",79770.3,79789.0,73962.0,74779.7,0.0
44,"2015/03/02, 03:30:00",74781.3,76277.1,71714.8,73841.4,0.0
45,"2015/04/01, 03:30:00",73841.4,76961.2,73680.9,75331.3,0.0
46,"2015/05/01, 03:30:00",75288.3,78379.2,74346.4,75966.3,0.0
47,"2015/06/01, 03:30:00",76089.5,76933.8,74183.9,74666.5,0.0
48,"2015/07/01, 03:30:00",74621.6,75013.4,68919.4,70319.0,0.0
49,"2015/08/03, 03:30:00",70302.4,77757.1,69001.6,75401.2,0.0
50,"2015/09/01, 03:30:00",75420.5,76723.0,72939.0,73050.5,0.0
51,"2015/10/01, 03:30:00",73050.5,77227.7,72420.9,74729.4,0.0
52,"2015/11/02, 03:30:00",74729.4,74846.8,70356.0,70811.3,0.0
53,"2015/12/01, 03:30:00",70819.2,72805.8,69457.3,70470.3,0.0
54,"2016/01/01, 03:30:00",70644.3,76809.7,70349.4,75893.1,0.0
55,"2016/02/01, 03:30:00",75879.5,86281.3,75812.9,84516.7,0.0
56,"2016/03/01, 03:30:00",84502.1,86085.7,80862.6,81665.7,0.0
57,"2016/04/01, 03:30:00",81646.1,86016.1,80273.0,85817.5,0.0
58,"2016/05/02, 03:30:00",85906.8,86597.5,80491.8,81611.2,0.0
59,"2016/06/01, 03:30:00",81645.1,92492.6,81221.5,89264.7,0.0
60,"2016/07/01, 03:30:00",89257.3,92555.8,88096.6,90210.0,0.0
61,"2016/08/01, 03:30:00",90208.4,91503.5,87561.6,87645.8,0.0
62,"2016/09/01, 03:30:00",87632.4,89778.9,87236.4,87738.5,0.0
63,"2016/10/03, 03:30:00",87711.8,87926.8,82740.1,85219.5,0.0
64,"2016/11/01, 03:30:00",85212.2,89412.9,80191.1,80441.7,0.0
65,"2016/12/01, 03:30:00",80465.0,80715.5,76289.3,78303.4,0.0
66,"2017/01/02, 03:30:00",78254.5,83021.6,78254.5,81730.8,0.0
67,"2017/02/01, 03:30:00",81736.6,84353.6,80851.5,83290.9,0.0
68,"2017/03/01, 03:30:00",83286.9,83422.4,78644.1,81040.1,0.0
69,"2017/04/03, 03:30:00",80977.5,83569.3,80496.7,81604.5,0.0
70,"2017/05/01, 03:30:00",81522.7,82286.9,78587.3,81868.4,0.0
71,"2017/06/01, 03:30:00",81861.4,83518.6,79752.4,80243.3,0.0
72,"2017/07/03, 03:30:00",80243.3,81556.6,77777.4,81492.2,0.0
73,"2017/08/01, 03:30:00",81492.2,84874.7,79842.4,84566.5,0.0
74,"2017/09/01, 03:30:00",84454.7,86756.2,83510.3,83584.1,0.0
75,"2017/10/02, 03:30:00",83584.1,84565.0,82114.8,82324.3,0.0
76,"2017/11/01, 03:30:00",82295.0,84247.5,81783.8,82266.6,0.0
77,"2017/12/01, 03:30:00",82297.1,83466.6,79839.2,83193.3,0.0
78,"2018/01/01, 03:30:00",83204.5,86755.6,82970.9,85498.4,0.0
79,"2018/02/01, 03:30:00",85488.6,87391.4,84116.2,85977.8,0.0
80,"2018/03/01, 03:30:00",85985.7,87922.5,85083.5,86330.1,0.0
81,"2018/04/02, 03:30:00",86341.5,89116.9,85883.6,87439.2,0.0
82,"2018/05/01, 03:30:00",87439.2,89288.4,86980.4,87559.2,0.0
83,"2018/06/01, 03:30:00",87559.2,88500.3,85439.2,85754.5,0.0
84,"2018/07/02, 03:30:00",85826.8,86992.3,83324.2,83796.1,0.0
85,"2018/08/01, 03:30:00",83796.1,85759.0,81500.4,84948.2,0.0
86,"2018/09/03, 03:30:00",85257.0,87685.3,84830.7,86444.1,0.0
87,"2018/10/01, 03:30:00",86533.0,91244.7,86274.8,89891.9,0.0
88,"2018/11/01, 03:30:00",89954.8,90338.9,84938.8,85196.3,0.0
89,"2018/12/03, 03:30:00",85124.4,90486.6,85124.4,89233.0,0.0
90,"2019/01/01, 03:30:00",89233.0,94329.1,88994.5,93701.2,0.0
91,"2019/02/01, 03:30:00",93781.8,96066.4,92400.1,93040.8,0.0
92,"2019/03/01, 03:30:00",93013.0,93161.6,89021.5,89520.8,0.0
93,"2019/04/01, 03:30:00",89461.9,90817.3,88248.7,89424.2,0.0
94,"2019/05/01, 03:30:00",89260.8,92030.8,87865.7,90858.2,0.0
95,"2019/06/03, 03:30:00",90859.6,99702.8,90859.6,97199.8,0.0
96,"2019/07/01, 03:30:00",95973.6,99570.9,95051.1,97394.9,0.0
97,"2019/08/01, 03:30:00",97602.7,111628.4,96868.9,109066.0,0.0
